id,pointer,path,line,byte_column,status,disposition,symbol_or_contract,replacement_or_reason,evidence,source
d22bd3863501,Assets/Data/Tests/PackCatalogTest.cs:35:78,Assets/Data/Tests/PackCatalogTest.cs,35,78,UNREVIEWED,,,,,            // WO-1037 single-resource impulse packs (tiers 14-25: wood/iron/food/crystals x
5cbf9e7d23ec,Assets/Editor/BlinkUiImporter.cs:177:52,Assets/Editor/BlinkUiImporter.cs,177,52,UNREVIEWED,,,,,"            // identifiers"" F8 board ticket). Wood/food/crystal picks await the owner's art call."
ec9903abc00a,Assets/Editor/BlinkUiImporter.cs:182:20,Assets/Editor/BlinkUiImporter.cs,182,20,UNREVIEWED,,,,,"            // ⛔ FOOD: the 2026-07-07 pick was HudIcons/food.png (""her pick - NOT hud_food.png"")."
f9a1a4431ac5,Assets/Editor/BlinkUiImporter.cs:182:59,Assets/Editor/BlinkUiImporter.cs,182,59,UNREVIEWED,,,,,"            // ⛔ FOOD: the 2026-07-07 pick was HudIcons/food.png (""her pick - NOT hud_food.png"")."
5805f40cd9cd,Assets/Editor/BlinkUiImporter.cs:182:89,Assets/Editor/BlinkUiImporter.cs,182,89,UNREVIEWED,,,,,"            // ⛔ FOOD: the 2026-07-07 pick was HudIcons/food.png (""her pick - NOT hud_food.png"")."
357b6c20537e,Assets/Editor/BlinkUiImporter.cs:184:20,Assets/Editor/BlinkUiImporter.cs,184,20,UNREVIEWED,,,,,            // hud_food.png off art shown at the real 96px chip size: food.png resolves to a
1e8116902ffb,Assets/Editor/BlinkUiImporter.cs:184:71,Assets/Editor/BlinkUiImporter.cs,184,71,UNREVIEWED,,,,,            // hud_food.png off art shown at the real 96px chip size: food.png resolves to a
9ae9ed47fef7,Assets/Editor/BlinkUiImporter.cs:188:25,Assets/Editor/BlinkUiImporter.cs,188,25,UNREVIEWED,,,,,"            // currency_food from Src, so leaving the old path would have silently reverted the"
89bf75833a71,Assets/Editor/BlinkUiImporter.cs:190:62,Assets/Editor/BlinkUiImporter.cs,190,62,UNREVIEWED,,,,,"            new Entry { Src = ""Assets/Resources/HudIcons/hud_food.png"",    Role = ""currency"", Name = ""currency_food"",    Border = 0 },"
c19320f997b1,Assets/Editor/BlinkUiImporter.cs:190:112,Assets/Editor/BlinkUiImporter.cs,190,112,UNREVIEWED,,,,,"            new Entry { Src = ""Assets/Resources/HudIcons/hud_food.png"",    Role = ""currency"", Name = ""currency_food"",    Border = 0 },"
63bd2cdd66f1,Assets/Editor/CastleHubBuilder.cs:44:74,Assets/Editor/CastleHubBuilder.cs,44,74,UNREVIEWED,,,,,    //     1. Blacksmith (Weapons)   2. Lumbermill (Wood)   3. Windmill (Food)
f10f391a5a85,Assets/Editor/CastleHubBuilder.cs:309:40,Assets/Editor/CastleHubBuilder.cs,309,40,UNREVIEWED,,,,,"                (windmill,   ""Windmill_Food_Storefront"",        new Vector3(-22, 0,  22)),"
dc3bd7b0877b,Assets/Editor/Catalog/GearCatalogGenerator.cs:346:27,Assets/Editor/Catalog/GearCatalogGenerator.cs,346,27,UNREVIEWED,,,,,"            int wood, int food, int iron, int crystals)> RarityTemplate ="
6715e6c777cc,Assets/Editor/Catalog/GearCatalogGenerator.cs:414:21,Assets/Editor/Catalog/GearCatalogGenerator.cs,414,21,UNREVIEWED,,,,,"            row[""buyFood""]     = t.food;"
defe9eee44d6,Assets/Editor/Catalog/GearCatalogGenerator.cs:414:36,Assets/Editor/Catalog/GearCatalogGenerator.cs,414,36,UNREVIEWED,,,,,"            row[""buyFood""]     = t.food;"
ee98ac4ab3c2,Assets/Editor/Catalog/GearCatalogGenerator.cs:692:65,Assets/Editor/Catalog/GearCatalogGenerator.cs,692,65,UNREVIEWED,,,,,"                                        ""reach"", ""buyWood"", ""buyFood"", ""buyIron"","
e9e6003c3412,Assets/Editor/CityManifest.json:66:33,Assets/Editor/CityManifest.json,66,33,UNREVIEWED,,,,,"      ""purpose"": ""train squads (food-capped army) — NW Craft quadrant, against the W wall"""
c1042fa2824d,Assets/Editor/CityManifest.json:159:19,Assets/Editor/CityManifest.json,159,19,UNREVIEWED,,,,,"      ""purpose"": ""food -> army cap — relocated to the south bow apron it was shaped to frame; working windmill secondary"","
588617e7f716,Assets/Editor/CityManifest.json:169:19,Assets/Editor/CityManifest.json,169,19,UNREVIEWED,,,,,"      ""purpose"": ""food store paired with Farm — silo + haystacks on the south bow apron"""
fba0b36928c0,Assets/Editor/CollectorStackPropCatalogBuilder.cs:19:6,Assets/Editor/CollectorStackPropCatalogBuilder.cs,19,6,UNREVIEWED,,,,,//   Food  -> Food_Flour.fbx
afb9b03417d5,Assets/Editor/CollectorStackPropCatalogBuilder.cs:19:15,Assets/Editor/CollectorStackPropCatalogBuilder.cs,19,15,UNREVIEWED,,,,,//   Food  -> Food_Flour.fbx
9232d3b2e63c,Assets/Editor/CollectorStackPropCatalogBuilder.cs:102:46,Assets/Editor/CollectorStackPropCatalogBuilder.cs,102,46,UNREVIEWED,,,,,"            new Pick(HarvestResource.Stone, ""Food_Flour.fbx""),"
ab0b707705c9,Assets/Editor/MainCastlePropSeatFix.cs:65:23,Assets/Editor/MainCastlePropSeatFix.cs,65,23,UNREVIEWED,,,,,"            ""Windmill_Food_Storefront"","
d64b4c12b01a,Assets/Editor/ParticlePackVfxBatchBuilder.cs:444:43,Assets/Editor/ParticlePackVfxBatchBuilder.cs,444,43,UNREVIEWED,,,,,"            new Row { TypeName = ""Harvest_Food"", Source = Misc + ""FireFlies.prefab"","
8cfa98308186,Assets/Editor/ParticlePackVfxBatchBuilder.cs:445:53,Assets/Editor/ParticlePackVfxBatchBuilder.cs,445,53,UNREVIEWED,,,,,"                      Dest = DestHarvest + ""Harvest_Food.prefab"", Expect = Family.Continuous,"
d43326660dbf,Assets/Editor/ParticlePackVfxBatchBuilder.cs:452:16,Assets/Editor/ParticlePackVfxBatchBuilder.cs,452,16,UNREVIEWED,,,,,"            // Food and Gold, all three of which are sparkles."
6aa1509f3b6a,Assets/Editor/ParticlePackVfxBatchBuilder.cs:971:78,Assets/Editor/ParticlePackVfxBatchBuilder.cs,971,78,UNREVIEWED,,,,,"            ""layer, both looping (the same source already shipped as Harvest_Food / Harvest_Crystal / "" +"
fdde74239009,Assets/Editor/ParticlePackVfxBatchBuilder.cs:1149:44,Assets/Editor/ParticlePackVfxBatchBuilder.cs,1149,44,UNREVIEWED,,,,,"            ""MineResource is { Iron, Wood, Food, AetherCrystal } (MineNode.cs) and "" +"
a88cdd020760,Assets/Editor/ParticlePackVfxBatchBuilder.cs:1150:45,Assets/Editor/ParticlePackVfxBatchBuilder.cs,1150,45,UNREVIEWED,,,,,"            ""HarvestResource is { Crystals, Food, Wood, Iron } (ResourceBuildingProgression.cs); "" +"
0724a2bc74ef,Assets/Editor/Regression/BarracksBlankTownRegression.cs:238:54,Assets/Editor/Regression/BarracksBlankTownRegression.cs,238,54,UNREVIEWED,,,,,"                var plain = new GameObject(""Windmill_Food_Storefront""); created.Add(plain);"
ad6c1c611e8e,Assets/Editor/Regression/BarracksBlankTownRegression.cs:241:85,Assets/Editor/Regression/BarracksBlankTownRegression.cs,241,85,UNREVIEWED,,,,,"                HubStructureVisualInjector.RestoreBakedTwinPhysics(plain, ""Windmill_Food_Storefront"");"
92a2dc137c73,Assets/Editor/Regression/BattleMonthlyRegression.cs:543:40,Assets/Editor/Regression/BattleMonthlyRegression.cs,543,40,UNREVIEWED,,,,,"                           ""{wood,iron,food,crystals,coins}, every convenience kind redeemable in THIS build, no "" +"
16419694b7f9,Assets/Editor/Regression/BuildCardArtRegression.cs:62:73,Assets/Editor/Regression/BuildCardArtRegression.cs,62,73,UNREVIEWED,,,,,"                ""mill"",                // RETIRED (WO-707): Farm is the food producer"
